"kind","geom","name","cx_pt","cy_pt","w_pt","h_pt","rot","text"
"sp","roundRect","사각형: 둥근 모서리 180","733.36","54.64","70.87","70.87","180",""
"sp","ellipse","타원 182","718.87","39.9","37.82","37.82","180","C#1"
"sp","ellipse","타원 183","747.84","69.38","37.82","37.82","180","C#2 6↘️"
"sp","roundRect","사각형: 둥근 모서리 200","733.36","128.34","70.87","70.87","180",""
"sp","ellipse","타원 201","740.81","144.19","34.64","34.64","180","C#2 6↘️"
"sp","ellipse","타원 202","749.43","111.02","34.64","34.64","180","C#3 →7"
"sp","ellipse","타원 203","715.47","119.79","34.64","34.64","180","C#1"
"sp","roundRect","사각형: 둥근 모서리 205","733.36","202.05","70.87","70.87","180",""
"sp","ellipse","타원 206","750.67","184.4","34.64","34.64","180","C#3 →7"
"sp","ellipse","타원 207","750.67","219.53","34.64","34.64","180","C#4 6↘️"
"sp","ellipse","타원 208","715.32","184.4","34.64","34.64","180","C#1"
"sp","ellipse","타원 209","715.32","219.53","34.64","34.64","180","C#2 4↓️"
"sp","roundRect","사각형: 둥근 모서리 210","733.36","275.75","70.87","70.87","180",""
"sp","ellipse","타원 211","752.93","256.89","25.93","25.93","180","C#4 →7"
"sp","ellipse","타원 212","713.41","256.89","25.93","25.93","180","C#1"
"sp","ellipse","타원 213","752.93","294.25","25.93","25.93","180","C#5 6↘️"
"sp","ellipse","타원 214","713.41","294.25","25.93","25.93","180","C#2 4↓️"
"sp","ellipse","타원 215","733.37","275.75","25.93","25.93","180","C#3 →7"
"sp","roundRect","사각형: 둥근 모서리 216","733.63","349.45","70.87","70.87","180",""
"sp","ellipse","타원 217","725.01","327.68","22.68","22.68","180","C#2  →7"
"sp","ellipse","타원 218","725.01","371.23","22.68","22.68","180","C#3 4↓️"
"sp","ellipse","타원 219","748.31","327.68","22.68","22.68","180","C#5 →7"
"sp","ellipse","타원 220","748.31","371.23","22.68","22.68","180","C#6️ 6↘️"
"sp","ellipse","타원 221","738.14","349.53","22.68","22.68","180","C#4 →7"
"sp","ellipse","타원 222","714.49","349.53","22.68","22.68","180","C#1"
"sp","roundRect","사각형: 둥근 모서리 193","733.36","423.15","70.87","70.87","180",""
"sp","ellipse","타원 224","733.36","438.59","22.68","22.68","0","C#5 →7"
"sp","ellipse","타원 225","733.36","407.72","22.68","22.68","0","C#4 →7"
"sp","ellipse","타원 227","716.15","423.15","22.68","22.68","0","C#3 →7"
